,Date,User,Tweet,Link
476,2022-07-18 08:31:54+00:00,borahaefromv,"inget bgt pas awal weverse muncul, aku lg otw bandung, ntah knp panik gbs login pdhl masalah lupa pass email doang https://t.co/jQjM6JwYlh",https://twitter.com/borahaefromv/status/1548948664432807939
477,2022-07-18 08:09:57+00:00,mychikomaulana,"padahal saya nanya baik baik loh saya ngomong pelan pelan tapi saya di bentak bentak,,untuk disduk kota bandung mohon ditindak pegawai nya bukan masalah sakit hati nya pa saya malu di bentak didepan orang banyak orangtua saya aja ga berani ngebentak saya diumum depan orang banyak",https://twitter.com/mychikomaulana/status/1548943141369102336
478,2022-07-18 07:55:17+00:00,kangandribdg,"Masalah Keluarga, Gak Usah Khawatir Puspaga Bandung Siap Tampung Keluhan Kaum Ibu https://t.co/9L15dD5WTs",https://twitter.com/kangandribdg/status/1548939450960445441
479,2022-07-18 07:36:22+00:00,ariiefinteristi,@FansNerazzurri Yg jadi masalah itu bukan di sektor penyerang tp lebih belom ada pengganti yg sepadan sama perisic . Gosens masih jauh kapasitas nya di bandung perisic . Sayap kanan bellanova ga cocok banget maen di tim sebesar inter . Kenapa ga ambil kostic .,https://twitter.com/ariiefinteristi/status/1548934690987720704
480,2022-07-18 06:55:38+00:00,leegawont,"@enhypenmart Jay dada atau jay batik yuk kak? Jw scylla esse tuspi juga ga masalah. Dibeli yuk kak, boleh negoo. Nanti bisa packing lucu, aku dom bandung https://t.co/szyULloutA",https://twitter.com/leegawont/status/1548924437260472321
481,2022-07-18 05:36:22+00:00,kabarpol,Turn Back Hoax: [SALAH] Etnis Madura Membuat Masalah dengan Orang Bandung https://t.co/k51670hw1I,https://twitter.com/kabarpol/status/1548904492816556034
482,2022-07-18 05:36:19+00:00,kabarpolitik,Turn Back Hoax: [SALAH] Etnis Madura Membuat Masalah dengan Orang Bandung https://t.co/2opijxWNNC,https://twitter.com/kabarpolitik/status/1548904479571021825
483,2022-07-18 05:35:28+00:00,PortalSDAdotcom,[SALAH] Etnis Madura Membuat Masalah dengan Orang Bandung – #hoax #viral https://t.co/6HSuWfD18Y,https://twitter.com/PortalSDAdotcom/status/1548904263916474370
484,2022-07-18 04:28:29+00:00,Dediy_orlando,@verticalscape @a_virgonia Aing warga Bandung hapal loba perubahan bandung dibawah @ridwankamil lain masalah Taman wae loba kebijakan di Bandung nu karasa nu ayeuna abus ka kebijakan anjeunna di Jawa Barat,https://twitter.com/Dediy_orlando/status/1548887406329593856
485,2022-07-18 04:00:23+00:00,Dediy_orlando,@verticalscape @a_virgonia Iyeee berarti kaya anies juga benahi Dki dulu aja ganjar juga sama jangan buru-buru nyapres deal kan?Masalah taman di Bandung udah bukan kewenangan Gubernur karena itu kewenangan Pemkot masalah sampah kok nyalahin Gubernur terus warga kesadarannya buang sampah sembarangan gitu?,https://twitter.com/Dediy_orlando/status/1548880337186734080
486,2022-07-18 00:31:11+00:00,myharusix_,"Justru ini enaknya Bandung, mau pake outfir berlayer pun ga masalah. Baju sweater gemoy gedebage aku gaada yg bisa dipake dijakarta gegara disini panas bangett😭😭😭😭 https://t.co/BGdm01H0PS",https://twitter.com/myharusix_/status/1548827689384964096
487,2022-07-17 17:10:29+00:00,2020Berita,"Masalah Keluarga, Gak Usah Khawatir Puspaga Bandung Siap Tampung Keluhan Kaum Ibu https://t.co/Q1hFQbNlVy",https://twitter.com/2020Berita/status/1548716781719764992
488,2022-07-17 12:34:13+00:00,yourclavicula,Aku rak masalah sih nek hari-hari mangan kue bandung,https://twitter.com/yourclavicula/status/1548647258308366337
489,2022-07-17 12:20:45+00:00,fienthefiet,"@statesmankindly paling umum masalah vanue sih kalo konser di bandung ada aja yang masalah kek becek banget, belok dsb lahhh",https://twitter.com/fienthefiet/status/1548643867230015489
490,2022-07-17 08:11:21+00:00,Nuizahaeyo_,"Bagiku; Jogja memang istimewa. 

Seperti imbuhan kata yg ada di depan namanya.

Menurut Pidi Baiq soal Bandung: 'bukan cuma masalah letak geografis, .. melibatkan perasaan, yang bersamaku ketika sunyi'. Demikian Jogja bagiku.

Ada kerinduan, harapan &amp; impian yg bersemayam disana. https://t.co/JdZRldnZWP",https://twitter.com/Nuizahaeyo_/status/1548581105518882817
491,2022-07-17 07:49:44+00:00,suaradotcom,Ibu-ibu di Bandung Mau Ngadu Masalah Keluarga? Silakan Hubungi Puspaga  https://t.co/dQt9UdU6UG,https://twitter.com/suaradotcom/status/1548575665078820865
